Date,HS_I,5,66,1,16,3,11
2001/5/10,13604.79981,54.067051,8.135298,32.722195,43.798416,1.184406,36.836441
2001/5/11,13636.61035,54.898849,8.135298,32.898617,44.816982,1.184406,37.145149
2001/5/14,13259.16992,53.651165,8.105821,32.016609,42.488838,1.17194,36.321987
2001/5/15,13250.08984,53.512539,8.076345,32.450573,42.488838,1.178173,36.321987
2001/5/16,13335.9502,53.651165,8.194251,32.630383,43.652916,1.190639,36.733559
2001/5/17,13637.87012,55.037491,8.164775,33.259586,44.52597,1.221809,36.836441
2001/5/18,13459.17969,53.928406,8.223723,33.259586,44.234962,1.184406,36.52776
2001/5/21,13721.26953,55.037491,8.253199,33.349487,45.54454,1.196876,36.630661
2001/5/22,13877.9502,55.453381,8.194251,33.259586,45.690056,1.184406,37.042236
2001/5/23,13839.09961,55.17614,8.135298,33.079823,45.690056,1.178173,37.042236
2001/5/24,13810.59961,55.314743,8.194251,33.798946,45.253521,1.178173,36.733559
2001/5/25,13753.99023,55.314743,8.371105,33.259586,44.234962,1.165707,36.42487
2001/5/28,13739.07031,54.898849,8.518478,33.259586,44.234962,1.159474,36.52776
2001/5/29,13629.61035,54.482956,8.489005,32.450573,43.652916,1.153241,36.116184
2001/5/30,13420.12988,54.067051,8.282677,31.731455,43.361893,1.147004,35.807495
2001/5/31,13174.41016,53.512539,7.870015,30.652748,42.634346,1.14077,35.704617
2001/6/1,13141.37988,53.512539,7.781586,30.922459,42.634346,1.134537,35.293026
2001/6/4,13207.49023,53.651165,7.870015,30.922459,42.925358,1.14077,35.190136
2001/6/5,13451.87012,54.205704,7.928967,31.731455,43.652916,1.14077,35.601707
2001/6/6,13576.00977,54.344307,7.928967,32.360668,44.380459,1.147004,35.395924
2001/6/7,13703.42969,54.898849,8.017394,32.72028,44.816982,1.147004,35.293026
2001/6/8,13808.88965,54.760235,8.046869,32.450573,45.253521,1.153241,35.704617
2001/6/11,13675.49023,54.205704,7.928967,31.911215,44.380459,1.134537,35.087231
2001/6/12,13526.67969,52.958004,7.928967,31.731455,43.652916,1.147004,34.778538
2001/6/13,13523.30957,52.12619,8.076345,31.461771,43.216385,1.159474,34.366974
2001/6/14,13248.88965,51.571667,8.046869,30.922459,42.197823,1.215576,33.440907
2001/6/15,13102.5,51.571667,7.958443,30.832556,41.761292,1.209343,33.132221
2001/6/18,12948.78027,51.433029,7.958443,30.742662,41.470272,1.215576,33.132221
2001/6/19,13133.66016,52.12619,8.135298,30.652748,41.61578,1.228042,34.058296
2001/6/20,12918.70996,51.15575,7.958443,30.473005,41.179241,1.221809,33.338017
2001/6/21,13187.4502,51.848907,7.987919,31.371922,41.470272,1.209343,33.749588
2001/6/22,13174.01953,51.710281,7.84054,30.652748,41.179241,1.209343,33.338017
2001/6/25,null,51.710281,null,30.652748,41.179241,1.209343,33.338017
2001/6/26,12961.96973,51.294392,7.663688,30.562849,40.451698,1.203109,33.029331
2001/6/27,13004.20996,51.15575,7.575256,30.113398,40.888229,1.196876,33.440907
2001/6/28,12827.82031,50.601219,7.663688,29.663942,40.015171,1.209343,32.823544
2001/6/29,13042.53027,51.017105,7.870015,30.562849,40.888229,1.228042,32.926449
2001/7/2,null,51.017105,null,30.562849,40.888229,1.228042,32.926449
2001/7/3,13184.75,51.571667,7.722637,30.562849,41.033741,1.203109,33.543808
2001/7/4,13207.53027,51.294392,7.693161,30.473005,41.761292,1.196876,34.675652
2001/7/5,12999.48047,50.462585,7.604734,29.933638,41.179241,1.184406,34.57275
2001/7/6,null,50.462585,null,29.933638,41.179241,1.184406,34.57275
2001/7/9,12690.67969,49.630795,7.663688,29.663942,40.015171,1.17194,33.852497
2001/7/10,12713.90039,49.769409,7.634209,29.663942,41.033741,1.196876,34.57275
2001/7/11,12527.90039,48.244461,7.575256,29.124638,40.888229,1.196876,34.675652
2001/7/12,12660.2002,48.244461,7.722637,29.034725,41.470272,1.215576,34.778538
2001/7/13,12612.79004,48.521729,7.575256,28.944838,41.61578,1.196876,34.984344
2001/7/16,12624.53027,48.660339,7.663688,28.854923,41.033741,1.184406,35.190136
2001/7/17,12495.25,48.38308,7.545782,28.854923,41.033741,1.178173,35.087231
